attendance,cgpa,arrear_count,fees_paid,disciplinary_issues,year,semester,dropout,low_attendance,low_cgpa,high_arrears,financial_risk,behavior_risk
84,9.61,3,1,0,4,6,0,0,0,0,0,0
80,9.96,7,0,1,4,3,1,0,0,1,1,1
68,7.69,5,1,0,1,7,1,0,0,1,0,0
54,9.85,3,0,0,3,7,1,1,0,0,1,0
84,6.56,2,1,0,1,3,0,0,0,0,0,0
40,4.08,7,1,0,3,3,1,1,1,1,0,0
64,5.5,0,1,0,2,6,0,0,0,0,0,0
46,6.75,1,1,0,3,7,1,1,0,0,0,0
48,2.58,1,1,1,2,4,1,1,1,0,0,1
63,6.98,7,1,0,3,5,1,0,0,1,0,0
40,9.85,6,0,0,2,5,1,1,0,1,1,0
83,3.52,5,1,0,2,8,0,0,1,1,0,0
47,8.34,4,1,1,4,2,1,1,0,1,0,1
63,9.26,4,1,0,3,5,1,0,0,1,0,0
50,9.55,1,0,0,4,8,1,1,0,0,1,0
90,9.68,2,1,0,2,8,0,0,0,0,0,0
56,6.17,2,0,0,4,7,1,1,0,0,1,0
47,9.82,3,1,0,1,5,1,1,0,0,0,0
74,8.06,7,1,0,4,7,1,0,0,1,0,0
74,3.29,5,0,1,3,2,1,0,1,1,1,1
72,5.82,7,1,1,4,5,1,0,0,1,0,1
98,7.75,7,1,0,1,5,1,0,0,1,0,0
44,3.98,3,1,1,4,8,1,1,1,0,0,1
81,7.12,4,0,0,2,1,1,0,0,1,1,0
78,7.33,7,1,0,2,6,1,0,0,1,0,0
97,3.3,1,0,0,2,2,1,0,1,0,1,0
80,6.52,6,1,0,3,1,1,0,0,1,0,0
67,8.17,7,1,0,4,4,1,0,0,1,0,0
46,5.99,2,1,0,2,2,0,1,0,0,0,0
48,2.1,7,0,0,4,7,1,1,1,1,1,0
47,2.07,1,1,0,1,6,1,1,1,0,0,0
51,4.86,0,0,0,1,5,0,1,1,0,1,0
73,9.41,1,1,0,3,7,0,0,0,0,0,0
72,3.83,0,0,0,4,5,1,0,1,0,1,0
87,7.07,3,1,0,1,1,0,0,0,0,0,0
94,3.78,3,0,1,3,1,1,0,1,0,1,1
62,4.57,4,0,0,3,4,1,0,1,1,1,0
63,8.78,1,0,0,2,4,1,0,0,0,1,0
76,7.83,1,1,0,1,6,0,0,0,0,0,0
74,2.76,0,0,0,4,5,1,0,1,0,1,0
83,5.43,3,1,1,1,7,1,0,0,0,0,1
79,2.23,0,1,0,1,3,1,0,1,0,0,0
61,5.85,3,1,0,4,7,0,0,0,0,0,0
66,7.3,0,1,1,4,8,1,0,0,0,0,1
74,2.95,3,0,0,2,4,1,0,1,0,1,0
40,4.31,0,1,0,3,5,1,1,1,0,0,0
74,5.18,6,0,0,4,7,1,0,0,1,1,0
76,9.36,3,1,0,4,7,1,0,0,0,0,0
86,9.95,5,0,0,1,4,1,0,0,1,1,0
53,2.36,0,1,0,4,8,1,1,1,0,0,0
42,8.09,1,1,0,4,7,1,1,0,0,0,0
40,4.97,4,1,0,1,7,0,1,1,1,0,0
44,5.14,5,0,0,1,2,1,1,0,1,1,0
65,8.03,5,1,0,1,8,1,0,0,1,0,0
94,9.35,0,0,0,2,1,0,0,0,0,1,0
53,9.61,4,1,0,3,5,1,1,0,1,0,0
78,6.62,1,1,0,4,7,0,0,0,0,0,0
66,4.86,5,1,0,1,4,1,0,1,1,0,0
48,8.3,1,1,0,1,1,1,1,0,0,0,0
54,4.01,3,1,0,3,8,1,1,1,0,0,0
54,6.51,7,1,0,2,7,1,1,0,1,0,0
65,4.87,6,1,0,4,7,1,0,1,1,0,0
81,7.25,7,1,0,2,3,1,0,0,1,0,0
99,3.92,7,1,0,2,4,1,0,1,1,0,0
52,3.53,4,0,0,2,5,1,1,1,1,1,0
90,9.35,6,1,1,1,2,1,0,0,1,0,1
71,2.81,2,1,0,3,1,1,0,1,0,0,0
78,6.05,3,0,0,3,8,1,0,0,0,1,0
88,3.77,4,1,0,3,1,1,0,1,1,0,0
91,2.31,0,1,1,2,2,1,0,1,0,0,1
71,2.29,6,0,0,4,5,1,0,1,1,1,0
43,3.4,0,1,0,2,6,1,1,1,0,0,0
69,8.93,1,1,1,3,8,1,0,0,0,0,1
76,4.26,7,1,0,1,3,0,0,1,1,0,0
62,9.6,5,1,0,2,6,1,0,0,1,0,0
78,6.65,6,1,0,1,8,1,0,0,1,0,0
84,5.49,2,0,0,3,7,1,0,0,0,1,0
54,6.64,0,1,0,2,2,1,1,0,0,0,0
82,6.13,4,1,1,1,3,1,0,0,1,0,1
68,8.07,6,1,0,2,5,1,0,0,1,0,0
75,4.26,6,1,0,3,4,1,0,1,1,0,0
52,4.82,5,1,0,4,4,1,1,1,1,0,0
71,9.15,5,1,0,3,8,1,0,0,1,0,0
46,9.57,4,1,0,4,8,1,1,0,1,0,0
98,9.14,5,1,0,4,6,0,0,0,1,0,0
90,5.36,0,1,0,3,5,0,0,0,0,0,0
61,8.24,4,1,0,1,3,1,0,0,1,0,0
67,5.81,7,1,0,2,8,1,0,0,1,0,0
41,5.98,4,0,0,2,8,0,1,0,1,1,0
81,3.64,1,1,0,2,6,1,0,1,0,0,0
84,6.73,2,1,0,4,2,0,0,0,0,0,0
96,3.49,6,1,0,4,6,0,0,1,1,0,0
92,4.65,1,1,1,3,5,1,0,1,0,0,1
45,8.84,2,1,0,1,7,1,1,0,0,0,0
67,3.66,4,0,0,3,5,1,0,1,1,1,0
67,2.57,6,1,0,3,4,1,0,1,1,0,0
83,2.55,5,1,1,1,2,1,0,1,1,0,1
83,9.53,2,0,0,4,4,1,0,0,0,1,0
59,6.06,4,0,0,3,3,1,1,0,1,1,0
69,5.28,4,1,0,3,3,1,0,0,1,0,0
50,8.49,1,1,0,4,1,1,1,0,0,0,0
97,8.69,1,1,1,2,5,1,0,0,0,0,1
94,4.66,5,1,0,1,2,1,0,1,1,0,0
67,7.55,7,1,0,1,2,1,0,0,1,0,0
64,8.17,3,1,0,2,4,0,0,0,0,0,0
78,7.24,0,1,0,1,6,1,0,0,0,0,0
72,3.21,3,0,1,2,6,1,0,1,0,1,1
40,9.01,3,1,0,3,4,1,1,0,0,0,0
96,6.31,6,1,0,1,7,1,0,0,1,0,0
66,4.26,7,1,0,1,6,1,0,1,1,0,0
96,5.4,6,1,0,3,2,1,0,0,1,0,0
91,2.3,5,1,0,4,8,1,0,1,1,0,0
52,3.02,6,0,0,4,8,1,1,1,1,1,0
80,8.12,2,0,0,3,8,1,0,0,0,1,0
42,2.0,5,0,0,1,4,1,1,1,1,1,0
78,5.33,5,0,0,1,8,1,0,0,1,1,0
45,6.18,4,1,1,1,6,1,1,0,1,0,1
47,2.44,4,0,0,2,1,1,1,1,1,1,0
66,9.78,4,0,0,4,5,1,0,0,1,1,0
48,3.81,0,1,0,1,1,1,1,1,0,0,0
76,4.43,2,1,0,4,6,0,0,1,0,0,0
72,4.43,2,0,0,4,3,1,0,1,0,1,0
90,3.84,4,1,0,1,2,1,0,1,1,0,0
81,2.01,3,1,0,3,1,1,0,1,0,0,0
83,7.83,0,0,1,3,1,1,0,0,0,1,1
63,9.73,3,0,0,4,4,1,0,0,0,1,0
54,3.79,1,1,0,2,4,1,1,1,0,0,0
98,7.3,2,1,0,4,4,1,0,0,0,0,0
93,7.94,2,1,0,4,6,0,0,0,0,0,0
71,8.79,3,0,0,3,7,1,0,0,0,1,0
71,5.38,0,1,0,1,7,0,0,0,0,0,0
63,4.42,2,1,0,1,8,1,0,1,0,0,0
80,4.6,3,0,0,2,3,1,0,1,0,1,0
91,7.7,5,1,0,3,1,1,0,0,1,0,0
88,8.53,5,1,0,3,5,1,0,0,1,0,0
88,3.45,6,1,0,4,8,1,0,1,1,0,0
97,4.97,0,1,1,3,8,1,0,1,0,0,1
91,9.22,3,1,0,4,4,0,0,0,0,0,0
51,8.45,6,1,0,2,3,1,1,0,1,0,0
78,9.88,5,1,0,3,6,1,0,0,1,0,0
41,8.03,0,0,1,3,8,1,1,0,0,1,1
42,5.15,7,1,0,4,3,1,1,0,1,0,0
88,6.73,6,0,0,3,4,0,0,0,1,1,0
76,7.29,7,0,1,1,2,1,0,0,1,1,1
88,2.63,4,1,0,2,8,1,0,1,1,0,0
95,6.36,0,1,0,1,1,0,0,0,0,0,0
56,7.67,1,1,0,4,4,1,1,0,0,0,0
98,3.34,4,1,0,4,5,1,0,1,1,0,0
88,8.25,6,0,0,4,1,1,0,0,1,1,0
41,6.67,3,1,0,2,3,1,1,0,0,0,0
41,9.62,4,1,0,3,7,1,1,0,1,0,0
67,2.34,4,1,0,1,5,1,0,1,1,0,0
93,4.12,6,1,1,3,1,1,0,1,1,0,1
62,6.81,3,1,0,4,8,0,0,0,0,0,0
76,4.37,3,1,0,3,8,1,0,1,0,0,0
71,7.72,5,1,0,2,5,1,0,0,1,0,0
72,8.07,1,0,0,4,3,1,0,0,0,1,0
40,2.82,3,1,0,3,8,1,1,1,0,0,0
58,6.11,2,1,0,1,8,1,1,0,0,0,0
41,6.07,2,1,0,4,4,1,1,0,0,0,0
92,4.95,1,1,0,4,7,1,0,1,0,0,0
83,9.46,0,1,0,2,5,0,0,0,0,0,0
65,8.62,6,1,0,2,4,1,0,0,1,0,0
71,7.58,0,1,0,1,7,0,0,0,0,0,0
45,7.71,2,1,1,3,3,1,1,0,0,0,1
71,5.69,3,1,0,3,7,0,0,0,0,0,0
94,9.37,1,1,0,4,3,1,0,0,0,0,0
43,7.56,0,1,0,4,8,1,1,0,0,0,0
94,7.83,0,0,1,3,5,0,0,0,0,1,1
50,8.89,7,1,0,3,5,1,1,0,1,0,0
95,4.19,6,0,0,3,3,1,0,1,1,1,0
98,8.46,4,1,0,4,5,1,0,0,1,0,0
56,3.56,2,1,0,2,8,1,1,1,0,0,0
77,4.76,3,1,0,2,5,0,0,1,0,0,0
63,4.68,1,1,0,1,5,0,0,1,0,0,0
44,9.83,0,1,0,3,6,1,1,0,0,0,0
91,8.85,6,0,0,3,5,1,0,0,1,1,0
73,7.61,4,1,0,3,1,1,0,0,1,0,0
45,7.82,2,1,1,1,3,1,1,0,0,0,1
61,6.5,2,1,0,3,3,0,0,0,0,0,0
50,9.58,6,1,0,2,2,1,1,0,1,0,0
87,5.97,7,1,0,3,4,1,0,0,1,0,0
55,5.04,1,1,0,1,2,0,1,0,0,0,0
72,3.3,0,1,0,4,5,0,0,1,0,0,0
48,8.29,1,1,0,4,5,1,1,0,0,0,0
99,7.88,6,0,0,2,8,1,0,0,1,1,0
98,5.07,6,1,0,2,8,1,0,0,1,0,0
45,2.2,1,1,0,2,7,1,1,1,0,0,0
55,8.71,5,0,0,4,1,1,1,0,1,1,0
68,2.09,4,0,0,3,1,1,0,1,1,1,0
42,7.63,2,1,1,1,1,1,1,0,0,0,1
59,9.76,5,1,0,1,1,1,1,0,1,0,0
99,5.5,3,0,0,3,1,1,0,0,0,1,0
98,3.88,2,1,0,4,1,1,0,1,0,0,0
75,7.64,2,1,0,4,1,1,0,0,0,0,0
58,8.54,4,0,0,1,1,0,1,0,1,1,0
65,6.37,3,0,0,2,7,1,0,0,0,1,0
42,9.74,0,1,0,2,6,1,1,0,0,0,0
58,2.41,3,0,1,1,1,1,1,1,0,1,1
59,6.04,0,1,0,1,3,1,1,0,0,0,0
71,7.75,7,1,0,3,1,1,0,0,1,0,0
46,8.9,7,1,0,3,4,1,1,0,1,0,0
91,3.43,3,0,0,3,1,1,0,1,0,1,0
80,8.4,1,0,0,3,6,1,0,0,0,1,0
72,6.42,6,0,0,3,7,1,0,0,1,1,0
79,5.17,3,0,0,3,8,1,0,0,0,1,0
78,3.05,5,1,0,2,8,1,0,1,1,0,0
57,8.92,5,0,0,1,5,1,1,0,1,1,0
79,3.26,4,1,0,4,6,1,0,1,1,0,0
40,4.48,6,1,0,3,6,1,1,1,1,0,0
50,4.32,6,0,0,2,5,1,1,1,1,1,0
67,8.97,0,0,1,1,1,1,0,0,0,1,1
96,7.38,2,0,1,1,7,1,0,0,0,1,1
64,8.37,4,0,0,1,7,1,0,0,1,1,0
89,4.0,5,1,0,3,1,1,0,1,1,0,0
62,7.0,5,1,1,3,5,0,0,0,1,0,1
70,6.57,7,1,0,4,4,1,0,0,1,0,0
69,8.66,0,1,0,3,2,1,0,0,0,0,0
81,9.25,5,1,0,1,3,0,0,0,1,0,0
74,2.1,5,1,0,1,5,1,0,1,1,0,0
46,7.39,0,1,0,2,1,1,1,0,0,0,0
99,2.41,5,0,0,2,3,1,0,1,1,1,0
55,6.39,2,0,0,4,8,0,1,0,0,1,0
65,4.3,1,1,0,2,8,1,0,1,0,0,0
87,4.45,4,1,1,4,1,1,0,1,1,0,1
96,4.82,2,1,0,2,2,1,0,1,0,0,0
91,6.97,2,1,0,1,2,0,0,0,0,0,0
99,4.67,1,1,0,3,5,1,0,1,0,0,0
88,7.86,7,1,0,3,3,1,0,0,1,0,0
41,5.24,6,1,0,4,6,1,1,0,1,0,0
40,2.55,4,1,0,3,7,0,1,1,1,0,0
87,8.27,7,1,0,3,7,1,0,0,1,0,0
51,4.29,7,1,0,2,3,1,1,1,1,0,0
44,5.46,2,1,1,1,8,1,1,0,0,0,1
76,7.48,5,1,0,3,6,1,0,0,1,0,0
71,4.66,7,1,0,1,8,1,0,1,1,0,0
98,2.45,1,1,0,2,2,1,0,1,0,0,0
94,4.99,6,1,0,2,1,0,0,1,1,0,0
48,9.56,4,1,0,3,7,1,1,0,1,0,0
80,7.13,3,0,0,3,6,0,0,0,0,1,0
74,7.37,0,1,0,2,6,0,0,0,0,0,0
58,7.06,5,0,0,2,5,1,1,0,1,1,0
87,3.59,1,1,0,4,4,1,0,1,0,0,0
55,5.35,0,1,0,4,2,1,1,0,0,0,0
42,8.01,6,1,1,1,6,1,1,0,1,0,1
59,2.81,6,0,0,2,8,1,1,1,1,1,0
63,4.22,3,1,0,1,8,1,0,1,0,0,0
93,4.21,7,1,1,2,2,1,0,1,1,0,1
95,5.46,2,1,0,1,8,0,0,0,0,0,0
72,9.84,2,0,0,4,5,1,0,0,0,1,0
63,2.54,4,1,0,2,1,1,0,1,1,0,0
91,6.15,1,1,0,2,3,0,0,0,0,0,0
50,3.43,1,0,0,1,2,0,1,1,0,1,0
88,9.77,7,1,0,1,5,1,0,0,1,0,0
47,2.91,6,1,0,3,5,0,1,1,1,0,0
75,5.23,4,1,0,3,5,0,0,0,1,0,0
77,7.9,7,1,0,4,7,1,0,0,1,0,0
79,7.64,0,1,0,2,8,1,0,0,0,0,0
59,5.38,2,1,0,2,7,1,1,0,0,0,0
74,4.77,2,1,0,1,7,1,0,1,0,0,0
87,5.18,6,0,0,4,3,0,0,0,1,1,0
64,4.11,1,0,0,2,7,1,0,1,0,1,0
74,3.64,6,1,0,4,2,1,0,1,1,0,0
64,5.86,7,1,0,3,6,1,0,0,1,0,0
68,4.15,1,1,0,1,5,1,0,1,0,0,0
57,4.3,4,1,0,2,3,1,1,1,1,0,0
85,7.25,7,1,0,1,7,1,0,0,1,0,0
57,9.75,3,1,0,3,1,1,1,0,0,0,0
41,6.83,0,0,1,4,4,1,1,0,0,1,1
93,2.62,5,1,1,4,2,1,0,1,1,0,1
74,2.6,3,1,1,3,3,1,0,1,0,0,1
55,9.61,7,1,1,3,4,1,1,0,1,0,1
80,4.38,3,0,0,2,4,1,0,1,0,1,0
75,2.74,1,1,0,2,7,1,0,1,0,0,0
72,6.79,1,0,0,2,3,1,0,0,0,1,0
43,6.99,1,0,0,2,8,1,1,0,0,1,0
72,7.19,3,0,0,2,6,1,0,0,0,1,0
53,4.14,6,1,0,4,6,1,1,1,1,0,0
60,2.12,0,1,0,2,3,1,0,1,0,0,0
87,9.72,6,1,0,3,3,1,0,0,1,0,0
59,4.01,1,1,0,3,5,1,1,1,0,0,0
95,7.41,7,1,0,2,1,1,0,0,1,0,0
47,7.65,7,1,1,3,6,1,1,0,1,0,1
46,6.88,2,1,0,1,5,1,1,0,0,0,0
42,4.5,6,0,1,4,8,1,1,1,1,1,1
56,4.17,0,1,0,4,4,1,1,1,0,0,0
72,6.78,7,1,0,2,4,1,0,0,1,0,0
87,8.93,2,1,0,1,4,0,0,0,0,0,0
51,9.57,0,1,0,2,3,1,1,0,0,0,0
98,2.85,1,1,0,2,8,1,0,1,0,0,0
90,3.24,6,0,0,3,2,0,0,1,1,1,0
61,9.56,5,1,0,4,5,1,0,0,1,0,0
94,7.89,4,1,1,1,2,0,0,0,1,0,1
61,9.06,1,1,0,3,7,0,0,0,0,0,0
85,3.62,7,1,0,4,1,1,0,1,1,0,0
69,6.7,3,1,0,4,1,0,0,0,0,0,0
77,7.61,5,1,0,2,5,1,0,0,1,0,0
77,7.44,3,1,0,1,4,0,0,0,0,0,0
84,5.27,0,0,0,2,7,1,0,0,0,1,0
90,2.12,3,1,0,3,6,1,0,1,0,0,0
93,6.66,5,1,0,2,8,1,0,0,1,0,0
47,4.02,5,0,0,2,1,1,1,1,1,1,0
66,5.6,1,1,0,4,2,0,0,0,0,0,0
66,9.66,2,1,0,4,2,0,0,0,0,0,0
73,5.19,1,1,0,3,6,0,0,0,0,0,0
60,8.72,0,0,0,4,3,0,0,0,0,1,0
69,3.51,7,1,0,4,4,1,0,1,1,0,0
72,7.38,3,1,0,4,3,1,0,0,0,0,0
67,9.82,2,1,0,2,5,0,0,0,0,0,0
86,2.82,6,1,0,1,1,1,0,1,1,0,0
72,2.07,4,0,0,3,6,1,0,1,1,1,0
44,5.47,5,1,0,2,6,1,1,0,1,0,0
99,2.74,2,0,0,3,6,1,0,1,0,1,0
87,7.99,7,0,1,2,3,1,0,0,1,1,1
58,9.32,6,1,0,3,8,1,1,0,1,0,0
43,5.47,2,1,0,4,3,1,1,0,0,0,0
74,4.07,1,1,0,3,5,1,0,1,0,0,0
88,5.48,6,0,0,1,2,0,0,0,1,1,0
56,7.79,4,1,0,3,2,1,1,0,1,0,0
83,2.07,7,1,0,1,7,0,0,1,1,0,0
67,6.72,5,1,0,3,5,1,0,0,1,0,0
69,6.91,7,1,0,4,8,1,0,0,1,0,0
68,7.1,0,1,0,3,6,1,0,0,0,0,0
85,3.94,0,1,0,2,2,0,0,1,0,0,0
92,7.71,2,0,0,4,5,1,0,0,0,1,0
45,2.73,6,1,0,4,2,1,1,1,1,0,0
74,3.59,2,1,1,2,8,1,0,1,0,0,1
99,9.02,3,1,0,4,7,0,0,0,0,0,0
80,7.91,4,1,0,4,5,1,0,0,1,0,0
76,2.11,5,1,0,2,2,1,0,1,1,0,0
63,3.99,2,0,1,4,6,1,0,1,0,1,1
68,3.72,3,0,0,4,8,1,0,1,0,1,0
88,4.17,6,1,0,4,3,0,0,1,1,0,0
85,3.98,4,0,0,4,8,1,0,1,1,1,0
92,2.5,5,1,0,3,3,1,0,1,1,0,0
70,5.67,0,1,0,4,8,0,0,0,0,0,0
74,7.86,3,1,0,4,7,0,0,0,0,0,0
99,6.85,6,1,0,4,6,1,0,0,1,0,0
72,7.38,4,1,0,3,2,1,0,0,1,0,0
91,2.65,3,1,1,1,6,0,0,1,0,0,1
60,9.61,2,0,1,4,5,1,0,0,0,1,1
71,8.71,1,1,0,1,3,1,0,0,0,0,0
62,8.44,0,1,0,1,1,0,0,0,0,0,0
72,8.58,2,1,0,2,7,0,0,0,0,0,0
42,9.46,2,0,1,2,2,1,1,0,0,1,1
57,6.35,6,1,0,1,1,1,1,0,1,0,0
64,3.6,6,1,0,3,1,1,0,1,1,0,0
81,6.93,4,1,0,4,8,1,0,0,1,0,0
70,7.94,6,1,0,4,7,1,0,0,1,0,0
93,7.9,3,1,0,4,4,0,0,0,0,0,0
97,6.17,0,1,0,2,1,0,0,0,0,0,0
42,2.55,2,0,0,2,1,1,1,1,0,1,0
79,4.97,4,1,0,4,6,1,0,1,1,0,0
85,9.37,7,1,0,1,4,0,0,0,1,0,0
63,6.68,7,1,1,2,4,1,0,0,1,0,1
89,6.31,0,1,0,4,4,1,0,0,0,0,0
71,4.15,6,0,0,1,7,1,0,1,1,1,0
86,4.95,6,0,1,4,5,1,0,1,1,1,1
61,9.16,3,1,0,2,4,0,0,0,0,0,0
62,7.33,6,1,0,3,6,0,0,0,1,0,0
41,8.3,7,1,0,3,5,1,1,0,1,0,0
66,5.63,2,1,0,2,2,0,0,0,0,0,0
81,7.04,7,1,0,1,5,1,0,0,1,0,0
41,3.99,5,1,0,4,2,1,1,1,1,0,0
65,7.64,2,1,0,2,4,0,0,0,0,0,0
56,5.42,2,1,0,1,4,1,1,0,0,0,0
79,5.54,6,1,0,4,2,1,0,0,1,0,0
72,7.19,0,1,0,4,3,0,0,0,0,0,0
48,9.49,6,1,0,2,6,1,1,0,1,0,0
82,2.51,0,1,1,4,5,0,0,1,0,0,1
93,8.6,0,1,0,3,6,0,0,0,0,0,0
87,4.34,7,1,0,3,6,1,0,1,1,0,0
78,5.55,0,1,0,4,1,0,0,0,0,0,0
68,2.18,4,0,0,2,4,1,0,1,1,1,0
81,4.41,1,1,0,4,5,1,0,1,0,0,0
94,6.02,6,1,0,2,6,1,0,0,1,0,0
65,2.45,4,1,0,2,5,1,0,1,1,0,0
